DESCRIPCION,CODIGO
CANOA TURMERIC/ECRU,0265
LILAC,0266
BABY PAPAYA,0267
BLUE STRIPE,0268
NOIR MUSTARD,0269
ACQUA/PINSTRIPE,0270
NAVY PINSTRIPE,0271
NAVY/WHITE/REDMAN,0272
LIGHT BLUE,0273
ACQUA/WETLAND,0274
LILACC STRIPES,0275
NAVY STRIPES,0276
RUST/PINK,0277
AZAFRAN RED,0278
OFF WHITE/BLACK,0279
MILITAR GREEN,0280
ACQUA/BLUSH,0281
BLUSH/OFF WHITE,0282
OFF WHITE STRIPES/MILITAR GREEN,0283
BLUE RUST,0284
HIVER YELLOW,0285
CELESTE/OFF WHITE,0286
AZAFRAN/OFF WHITE,0287
NAVY/OFF WHITE,0288
CABERNET,0289
OFFWHIBLA,0290
WHITE/BLUE STRIPES,0291
CABERNET/OFF WHITE,0292
MINT/MAGENTA,0293
YUPPIE STRIPES,0294
CHILI RED SUCULENTA,0295
CHILI RED/WESTERN WHITE TARTAN,0296
WESTERN WHITE,0297
DESIERTO BEIGE/WESTERN WHITE,0298
WESTERN WHITE/NAVY,0299
MIDNIGTH NAVY/TARTAN,0300
NIGHT BLACK/IVORY STRIPES,0301
PEACH/BLACK ETHNIC DOTS,0302
FLAMINGO RED STRIPES,0303
NIGHT BLACK STRIPES,0304
CELESTE/WHITE STRIPES,0305
SPICY RED,0306
CELESTE/MAGENTA ACACIA TREE PRINT,0307
MAUVE/WHITE AMAZONIA PRINT,0308
CELESTE/WHITE AMAZONIA PRINT,0309
RENAISSANCE VICTORIAN RED,0310
HONEY STRIPES,0311
CHAMPAGNE,0312
POLKA DOTS,0313
RENAISSANCE ROSE,0314
CAMEL/IVORY,0315
BLACK/OFF WHITE,0316
MARSALA/ECRU,0317
PALE BLUSH,0318
MIDNIGHT/KLIM BEIGE,0319
CAMEL/OLD ROSE,0320
SKY BLUE,0321
NIGHTS IN CALI BLACK,0322
BURNT UMBER,0323
YELLOW PASTEL,0324
BLUE/JADE,0325
FOGGY JADE,0326
GREEN MILITAR,0327
BLUE PINSTRIPE,0328
NAVY BLUE STRIPE,0329
RENNAISSANCE POTTERY BLUE,0330
RENNAISSANCE ROSE,0331
MENS BLUE,0332
AGAVE WASHED BLUE DENIM,0333
CELESTE/RUST AMAZONIA PRINT,0334
NIGHT BLACK LIFE IN THE TROPICS,0335
TEAL/IVORY MAXI TANGLED GARDEN,0336
SAPPHIRE,0337
LAVA RED,0338
KILIM BEIGE,0339
BLUE GOLD WHITE TAUPE,0340
COCO DE MER/HUSBAND BLUE,0341
MAPLE/SMOKE,0342
OLDROSCABERCHIN,0343
MOSS,0344
HONEY,0345
ECRU BLACK,0346
BLUE/PINK STRIPE,0347
RED,0348
CELESTE/SALMON,0349
GREEN,0350
CELESTE/CORAL,0351
CERULEAN/MUSTARD,0352
CELESTE MAGENTA,0353
CABERNETPRILY,0354
MIDNIGHTPRINTLY,0355
WESTERN WHITE/NAVY BOTTOM,0356
CABERNOFFWSTRPRLY,0357
CELESTEMAGENCOQ,0358
MENBLUEPINESTRIPRL,0359
MIDNIGHTPRINTEDLY,0360
SILVERPRINTED LYCRA,0361
NIGHT BLACK,0362
BLACK TOURMALINE,0363
VICTORIAN CEREZO NAVY,0364
MARSALA/OFF WHITE,0365
RED MAN,0366
OFF WH BLUE,0367
TURQUIOSE,0368
WHEAT,0369
KHAKI/ECRU,0370
BUBBLE GUM,0371
CHERRY/OLD ROSE,0372
CELESTE CORAL,0373
DENIM,0374
JADECABERNEPLACOQU,0375
CHERRY/BLACK,0376
OLDROSECABERNECOQUEL,0377
CELESTEMAGECOQ,0378
CERULEAN,0379
ZAPHIRESILVERCOQUE,0380
BLACKZAPHIRE,0381
PEWTERNAVYLILIFEA,0382
MENCHARCOALGRAYPRIN,0383
BLACK/GOLD,0384
NAVY BLUE,0385
SHIMMERY GOLD,0386
BLACK TEXAN GARDEN PLAID,0387
AGRAVE BLUE,0388
GOLD SUCULENTA,0389
CHESNUT/BURNT UMBER,0390
PINK TROPICAL CHINOISERIE,0391
IVORY/TROPICAL CHINOISERIE,0392
CHESNUT GARDEN/VERDE JADE,0393
MIDNIGHT/SILVER TANGLED GARDEN,0394
CHESTNUT STRIPES,0395
JADE BLACK MAXI STRIPES,0396
CELESTE/BLACKPOLKADOTS,0397
HAZELNUT,0398
PAISLEY ANTIQUE SKY,0399
CAMEL/TANGERINE,0400
DANDELION CAMEL,0401
BLACK/CAMEL,0402
FLAMEORANGE/CAMEL,0403
CAMPARI/ECRU,0404
MILITARY,0405
ANIS/REDWOOD,0406
SOFT NUDE/MILITARY GREEN,0407
CHILI PEPPER/ROSE,0408
CHILI RED/ROSE SUCULENTA,0409
MENS BLUE ECRU,0410
SOFT PEACH AQUA,0411
STRIPES JADE,0412
CAMEL LILACC,0413
LILACC NAVY STRIP,0414
ECRU/KHAKI,0415
MENGRAYPRINSTRIP,0416
GRAY,0417
RUST/GREEN/RED,0418
GREEN/IVORY,0419
ECRU/CARMINE RED,0420
GREEN CLARO,0421
DEEPSTONE,0422
LICORICE,0423
CHILLI PEPPER,0424
SMOKE/ECRU,0425
OFF WHITE/CAMEL,0426
CHILLI PEPPER/CAMEL,0427
PINK,0428
CHOCOLATE/MAGENTA,0429
NAVYWH/RED MAN,0430
PINKWH/REDMAN,0431
LILAC STRIP,0432
GREEN STRIPE,0433
CHILLI PEPPER RED/SALMON,0434
MEN GRAYPRINSTRIPE,0435
MENS GRAY PRINSTRIPE,0436
OLDROSECABERNECOQUE,0437
OLDROSECABERNPLACCOQ,0438
CELESTEMAGENTACOQUE,0439
CAMPANILLAPEWTERNAVYLILI,0440
MOSS GREEN,0441
ZAPHIRESILVERCOQUELI,0442
WASHED BLUE,0443
WETLAND ECRU,0444
SILVER/GOLD,0445
FIESTA RED DESERT TILES,0446
LAVA RED/SAND DESERT TILES,0447
AMANECER RUST/WHITE STRIPES,0448
CHILI RED/WESTERN WHITE STRIPES,0449
MEDIANCOHE NAVY/WESTERN WHITE,0450
BLUE SKY,0451
