,,,,,,POR INGRESAR BD,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SENTIDO DE,,SESGOS,,,PERMITE GIRAR MOLDE,,TIPO DE RESTRICCION,,,,
,FOTO PRENDA,TIPO PRENDA,CANTIDAD DE TELAS,VARIANTE,TELA,,USO EN PRENDA,BASE TEXTIL,COLOR,ANCHO TELA,CONSUMO,DESCRIPCION,TERMINACION,MOLDES,CANAL DE TELA,AL HILO,A TRAVEZ,AL SESGO,90°,180°,PEINE,BRILLO / VIZOS,GRABADO,,
,,,2,2,1,,LUCIR,LYCRA VITA,SOLIDO,"1,5","0,18",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,45","0,19",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,46","0,19",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,48","0,19",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,5","0,18",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,48","0,16",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,5","0,16",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,54","0,16",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,56","0,16",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,48","0,1",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,5","0,1",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,54","0,1",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,56","0,1",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,BIKINI BOTTOM - ALTO,4,1,1,,LUCIR,LYCRA CRINKLE,SOLIDO,"1,2","0,19","LUCIR, SESGO, ENTREPIERNA Y FUSIONABLE",SESGADO,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,1,,LUCIR,LYCRA CRINKLE,MODIFICACION,"1,2","0,75",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,1,,LUCIR,LYCRA CRINKLE,UBICACION,"1,2",0,,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,1,,LUCIR,LYCRA CRINKLE,SOLID CON SENTIDO,"1,2","0,21",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,48","0,02",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,5","0,02",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,54","0,02",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,56","0,02",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,3,,SESGO LUCIR 2,LYCRA BAHIA,SOLIDO,"1,48","0,06",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,3,,SESGO LUCIR 2,LYCRA BAHIA,SOLIDO,"1,5","0,06",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,3,,SESGO LUCIR 2,LYCRA BAHIA,SOLIDO,"1,54","0,05",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,3,,SESGO LUCIR 2,LYCRA BAHIA,SOLIDO,"1,56","0,05",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,4,1,4,,FUSIONABLE,FUSIONABLE,SOLIDO,"1,5","0,01",,,N/A,N/A,SI,SI,SI,SI,NO,NO,NO,,,
,,BIKINI BOTTOM - PANTY,1,1,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,48","0,19","LUCIR, FORRO Y SESGO TIRAS. EN LA MISMA TELA",EMBONADO,,,,,,,,,,,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,5","0,18",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,54","0,18",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,56","0,18",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,48","0,24",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,5","0,24",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,54","0,23",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
