,,,,,,,REFERENTES,,,STATUS DE COLECCION,,,,,,,,,,,,INCLUDES,,TELA DE LUCIR MUESTRA COLECCION,,,,,TELA DE FORRO MUESTRA COLECCION                                ,,,,,,,,VARIACION DE COLOR,,EMPAQUES,MARQUILLA SATINADA FORRADA,BORDADO EN PRENDA,,SEMIELABORADOS,,PROCESO EXTERNO,,,,,ENTREGABLES COLECCION,,,,,,,REFERENTES DISEÑO TECNICO,,,,,,TELAS,,,,,,INSUMOS,,,BORDADO,,TOTAL,SEMANA 1 - COMENTARIOS DE MEDICION,,,,,SEMANA 2 - COMENTARIOS DE MEDICION,,,,,SEMANA 3 - COMENTARIOS DE MEDICION,,,,,SEMANA 4 - COMENTARIOS DE MEDICION,,,,,SEMANA 5 - COMENTARIOS DE MEDICION,,,,,SEMANA 6 - COMENTARIOS DE MEDICION,,,,,SEMANA 7 - COMENTARIOS DE MEDICION,,,,,,,,EQUIPO TECNICO,,,,,,INFORMACION LOGISTICA MEUSTRA COLECCION,,,,,,COMPOSICIONES MUESTRA COLECCION,,,,,,,,COMPOSICIONES PRODUCCIÓN,,,,,,,0,,,,,,,,,,,,
REF,IMAGEN,CODIGO MD,CODIGO PT,NOMBRE REFERENCIA,COLOR,COD COLOR,FOTO BASADO EN,PT, BASADO EN,STATUS,DISEÑADOR,STATUS TALLER,MODISTA,FOTOS INTERNAS,LINEA,SUBLINEA,TIPO REF, TALLAJE ,LARGO,CLOSURE,LINNED,INCLUDES,INCLUDES DE PAQUETE COMPLETO EN PLANTA,CODIGO TELA DE LUCIR PRINCIPAL EN MUESTRA,FOTO TELA,DESCRIPCION TELA,ANCHO TELA ,BASE TEXTIL,CODIGO TELA DE FORRO,FOTO TELA,DESCRIPCION TELA,ANCHO TELA ,MOD. DE ARTE,UBICACION EN TRAZO,ALL OVER,SUGERENCIA MOD/UBC,VARIACION DE COLOR,REF,TIPO DE EMPAQUE,APLICA O NO,APLICA O NO APLICA,DESCRIPCION,APLICA O NO APLICA,DESCRIPCION,PROVEEDOR,PROCESO EXTERNO,COSTO,STYLING,FOTO PRODUCTO,COMENTARIOS,TERMINADO EN TALLER PARA COSTEO TELAS,ENTREGABLE CREATIVO,"ENTREGABLE TECNICO  
8,,MD04141,PT04447,,,,,PT03476,GREEN EMPOWERMENT MOVEMENT ANKLE SKIRT WS26,CANCELADO CORTADO,BURGOS,CANCELADO, MARIA EUGENIA SARRIA,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,,TE00009339,,"CRINKLE LYCRA, ART.RN-2181 SEVNNA, PF24 SWIM col. OXYD",1.20,,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,,SE CANCELA Y SE CORTA EN OTRA TELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,,,KNITTED,,,,,,,,,,,,,,,,,,,,,,,,
9,,MD04157,PT04472,AGUA SERENA ONEPIECE,,,N/A,N/A,N/A,EN PROCESO,MARIA DEL MAR,TERMINADO,LUZ MARY MORALES,OK FOTO EN AUDACES,SWIMWEAR,ONEPIECE,SW, XS-S-M-L-XL ,N/A,,,N/A,N/A,TE00011438,,"CRINKLE LYCRA, ART.RN-2181 - SEVNA, COL.WINE",1.2,CRINKLE LYCRA,TE00011282,,"RECYCLED SOLID LYCRA, ART.5208 CANET - ESTILMAR, COL.0B5 BROWN",1.50,N/A,N/A,N/A,SOLIDO,,,,,,,,,,,,,SI,,,OK,,,,,#N/A,#N/A,,TRAZO,SOLIDO,,X,0.77MTS,,,,,X,,TERMINADO,,,,,,PROGRAMACION,,,,,,,,,,,,que las copas sean mas delgadas como el referente,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,SOLIDO,OK MARQUILLA ,,,,,NUEVO,,WOMEN ONEPIECE KNITTED,"88% RECYCLED POLYAMIDE
12% ELASTANE",KNITTED,"85% RECYCLED POLYESTER
15% ELASTANE",,OK,,,WOMEN ONEPIECE KNITTED,"88% RECYCLED POLYAMIDE
12% ELASTANE",KNITTED,,,,,,,,,,,,,,,,
10,,MD04158,PT04473,BLACK PALMS AT SUNRISE BIKINI TOP,,,,PT04002,PALMS AT SUNRISE BIKINI TOP SV26,EN PROCESO,YAMILET,TERMINADO,FANNY GOMEZ,OK FOTO PRENDA,SWIMWEAR,BIKINI TOP,SW, XS-S-M-L-XL ,N/A,,,EMBROIDERED AND EMBROIDERED STRAPS,N/A,TE00000350,,LYCRA NEGRA 390 VITA COL 9240 NERO,"1,5",LYCRA,TEN0003152,,LYCRA BAHIA 33474 COL194006 NEGRO,"1,56",N/A,N/A,N/A,SOLIDO,,,,,,,,,,,,,SI,,,OK,,,,,#N/A,#N/A,,SAP,SOLIDO,,X,"0,64 MT
MOD DE ARTE",,,,,X,,TERMINADO,X,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDIENTE VER PRENDA FINAL PARA CONFIRMAR REFERENTE,,SOLIDO,OK MARQUILLA ,,,,,nuevo,,WOMEN BIKINI TOP KNITTED,"78% POLYAMIDE
22% ELASTANE",KNITTED,SI,,OK,,,WOMEN BIKINI TOP KNITTED,"78% POLYAMIDE
22% ELASTANE",KNITTED,,,,,,,,,,,,,,,,
11,,MD04151,PT04474,,,,N/A,N/A,N/A,CANCELADO CORTADO,MARIA DEL MAR,CANCELADO,MARTA RAMIREZ,,SWIMWEAR,ONEPIECE,SW, XS-S-M-L-XL ,,,,,,TEN0007482,,"SOLID LYCRA, VITA SUTEX, COL.2249 STARFISH",1.50,,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,"Darle mas capacidad, queda muy apretado.",,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,WOMEN ONEPIECE KNITTED,"78% RECYCLED POLYAMIDE
22% ELASTANE",KNITTED,,,,,,,,,,,,,,,,,,,,,,,,
12,,MD04159,PT04488,BLUE/ECRU BOA WHISPER KIMONO,,,,PT03388,ECRU/NAVY BOA WHISPER KIMONO WS26,EN PROCESO,MARGARITA,TERMINADO,CIELO AGUIRRE,OK FOTO EN AUDACES,OUTWEAR,KIMONO,OW, XS-S-M-L-XL ,,,,WITH SASH,N/A,TE00012456,,PRINTED LIGHT LINEN art.LIGHT LINEN W0448FEB - CLERICI WS27 MAPUCHE EMBROIDERIES BLUE/ECRU,1.45,LIGHT LINEN,N/A,N/A,N/A,N/A,SI,N/A,N/A,MODIFICACIÓN DE ARTE,,,,,,,,,,,,,SI,,,OK,,,,,,PT03388,ECRU/NAVY BOA WHISPER KIMONO WS26,REPROGRAMACIÓN MOD ARTE,MODIFICACIÓN DE ARTE,"ES DIFERENTE Y EL SASH , NO PASA DIRECTO",,,,,X,"4.13MTS
MOD DE ARTE",X,,#N/A,,,,,,PROGRAMACION,,,,,,,,,,Realizar la cartera  normal de los kimonos con cefena,,,MEDIDO,,,,,,,,,,,,,,,,,,,,,,,EL CINTURON VA FIJO EN POSTERIOR Y VA UN LADO MAS LARGO QUE EL OTRO ,,,"#1
ECRU/NAVY BOA WHISPER KIMONO
",,MODIFICACIÓN DE ARTE,OK MARQUILLA ,,,,,cambio,,WOMEN KIMONO IN WOVEN FABRIC,100% LINEN,WOVEN,N/A,,OK,,,WOMEN KIMONO IN WOVEN FABRIC,100% LINEN,WOVEN,,,,,,,,,,,,,,,,
13,,MD04142,PT04448,,,,,PT03933,ECRU/BLACK ZEA PALM MAXI DRESS SV26,CANCELADO CORTADO,BURGOS,CANCELADO, MARIA EUGENIA SARRIA,OK FOTO PRENDA,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,,TE00011245,,"COTTON JACQUARD, ART.J300152 - MONARCH, WS26, RHOMBUS PATTERN, COL. CAMEL/DARK GREEN",1.53,COTTON JACQUARD,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,WOMEN ANKLE DRESS IN WOVEN FABRIC,100% COTTON,WOVEN,,,,,,,,,,,,,,,,,,,,,,,,
14,,MD04143,PT04449,,,,,PT00640,LAGOON AFAIR MIDI DRESS SV22,CANCELADO CORTADO,CLAUDIA,CANCELADO,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,,TEN0007318,,PANTELLERIA INTENSO 08206 VINOTINTO,1.50,,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,WOMEN DRESS KNITTED,85% POLYAMIDE Y 15%  ELASTHANE,KNITTED,100% SILK,,,,,,,,,,,,,,,,,,,,,,,
15,,MD04218,PT04450,CRIINKLE BABOON CALL DRESS,,,,PT01712,BABOON CALL ONEPIECE WS24,EN PROCESO,YAMILET,TERMINADO,JIMENA BORJA,OK FOTO PRENDA,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,EMBROIDERED STRAP EDGE,N/A,TE00009330,,"CRINKLE LYCRA, ART.RN-2181 SEVNNA, col.BLACK",1.20,CRINKLE LYCRA,TEN0003152,,LYCRA BAHIA 33474 COL194006 NEGRO,"1,56",N/A,N/A,N/A,SOLIDO,,,,,,,,,,,,,SI,,,OK,,,,,#N/A,#N/A,,APOYO ESPECIAL,SOLIDO,,X,2.10MTS,,,,,X,,TERMINADO,,,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLIDO,OK MARQUILLA ,,,,,nuevo,,WOMEN DRESS KNITTED,"88% RECYCLED POLYAMIDE
12% ELASTANE",KNITTED,"80% POLYESTER
20% ELASTANE",,OK,,,WOMEN DRESS KNITTED,"88% RECYCLED POLYAMIDE
12% ELASTANE",KNITTED,"80% POLYESTER
20% ELASTANE",,,,,,,,,,,,,,,
16,,MD04160,PT04475,NUDE VISIONARY ARTS BIKINI TOP,,,,PT02147,BLACK VISIONARY ARTS BIKINI TOP SV24,CANCELADO CORTADO,CLAUDIA,CANCELADO,,OK FOTO PRENDA,SWIMWEAR,BIKINI TOP,SW, XS-S-M-L-XL ,,,,EMBROIDERED AND EMBROIDERED STRAPS,N/A,TE00009485,,"LYCRA VITTA 0427J RATTI, COL.OLD PEACH
",1.50,LYCRA,TEN0007434,,LYCRA BAHIA CAFE COL 191241,1.56,,,,SOLIDO,,,,,,,,,,,,,,,,OK,,,,,,PT02147,BLACK VISIONARY ARTS BIKINI TOP SV24,SAP,SOLIDO,,X,0.13 MT,,,,,X,,TERMINADO,X,,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLIDO,,,,,,PDT,,WOMEN BIKINI TOP KNITTED,"78% RECYCLED POLYAMIDE
22% ELASTANE

EMBROIDERED
100% COTTON",KNITTED,"80% POLYESTER
20% ELASTANE",EMBROIDERED,OK,,,WOMEN BIKINI TOP KNITTED,"78% RECYCLED POLYAMIDE
22% ELASTANE",KNITTED,,,,,,,,,,,,,,,,
17,,MD04161,PT04476,NUDE TAITA BIKINI BOTTOM,,,,PT03465,RED TAITA BIKINI BOTTOM WS26,CANCELADO CORTADO,CLAUDIA,CANCELADO,,,SWIMWEAR,BIKINI BOTTOM,SW, XS-S-M-L-XL ,,,,N/A,N/A,TE00009485,,"LYCRA VITTA 0427J RATTI, COL.OLD PEACH
",1.50,LYCRA,TEN0007434,,LYCRA BAHIA CAFE COL 191241,1.56,,,,SOLIDO,,,,,,,,,,,,,,,,OK,,,,,,PT03944,ECRU/BLACK TAITA BIKINI BOTTOM SV26,SAP,SOLIDO,,X,0.17MTS,,,,,X,,#N/A,,,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK 

(REFERENTE ALL OVER)
 REF 45 PT02129 BLACK TAITA BIKINI BOTTOM OT01548 SV24 ",,SOLIDO,,,,,,PDT,,WOMEN BIKINI BOTTOM KNITTED,"78% RECYCLED POLYAMIDE
22% ELASTANE",KNITTED,,,,,,WOMEN BIKINI BOTTOM KNITTED,"78% RECYCLED POLYAMIDE
22% ELASTANE",KNITTED,,,,,,,,,,,,,,,,
